Tissue,HU,RSP,Density,Electron Density
Lungdeflated1,-850.5,0.1474228,0.148,0.147
Lungdeflated2,-736.54,0.258986,0.26,0.258
Lungdeflated3,-594.07,0.39844,0.4,0.397
Adiposetissue3,-86.72,0.9577807,0.93,0.933
Adiposetissue2,-63.29,0.9719046,0.95,0.952
Adiposetissue1,-39.86,0.9860257,0.97,0.97
Yellowmarrow,-35.99,0.9883562,0.98,0.982
Mammarygland1,-21.18,0.9972857,0.99,0.987
Mammarygland2,18.6,1.0212641,1.02,1.015
Redmarrow,28.12,1.0270038,1.03,1.024
BrainCerebrospinalfluid,36.05,1.0317823,1.01,1.01
Adrenalgland,30.41,1.0283819,1.03,1.025
Smallintestinewall,44.86,1.0370945,1.03,1.025
Urine,49.05,1.0396227,1.02,1.019
Gallbladderbile,50.23,1.0403338,1.03,1.027
Lymph,51.78,1.0412652,1.03,1.027
Pancreas,53.07,1.0420439,1.04,1.035
Brainwhitematter,54.83,1.0431066,1.04,1.035
Prostate,55.64,1.0435948,1.04,1.034
Testis,58.13,1.0450937,1.04,1.035
Braingraymatter,62.08,1.0474765,1.04,1.036
Muscleskeletal1,61.85,1.0473334,1.05,1.04
Heart1,62.08,1.0474758,1.05,1.042
Kidney1,62.7,1.0478502,1.05,1.041
Stomach,62.92,1.0479793,1.05,1.043
Thyroid,94.34,1.066921,1.05,1.043
Muscleskeletal2,64.56,1.0489697,1.05,1.041
Liver1,64.86,1.0491505,1.05,1.042
Heart2,65.35,1.0494462,1.05,1.043
Aorta,64.51,1.0489413,1.05,1.038
Kidney2,65.49,1.0495326,1.05,1.042
Muscleskeletal3,66.86,1.0503565,1.05,1.041
Heart3,67.92,1.0509957,1.05,1.043
Mammarygland3,67.67,1.0508427,1.06,1.051
Kidney3,68.11,1.0511084,1.05,1.043
Ovary,68.39,1.0512756,1.05,1.044
Eyelens,70.79,1.0527254,1.07,1.055
Liver2,75.38,1.0554922,1.06,1.051
Spleen,77.02,1.0564779,1.06,1.052
Trachea,76.04,1.0558886,1.06,1.05
Heartbloodfilled,78.15,1.0571634,1.06,1.052
Bloodwhole,78.18,1.0571791,1.06,1.051
Liver3,85.63,1.0616678,1.07,1.06
Skin1,93.13,1.0661894,1.09,1.079
Skin2,95.88,1.0678492,1.09,1.079
Skin3,100.11,1.0704,1.09,1.08
Connectivetissue,122.22,1.0837269,1.12,1.103
Cartilage,126.76,1.0864642,1.1,1.085
Sternum,400.25,1.2038148,1.25,1.211
Sacrummale ,468.9,1.2336269,1.29,1.245
D6L3inclcartilagem ,481.71,1.2391913,1.3,1.253
Vertcolwhole ,529.43,1.2599149,1.33,1.28
VertcolD6L3exclcartilage ,539.7,1.2643754,1.33,1.278
FemurHumerussphericalhead ,550.11,1.2688964,1.33,1.279
Femurconicaltrochanter ,597.54,1.2894916,1.36,1.305
C4inclcartilagemale,614.11,1.2966892,1.38,1.321
Sacrumfemale,635.28,1.3058795,1.39,1.331
Humeruswholespecimen,647.51,1.3111905,1.39,1.332
Ribs2nd6th,670.57,1.3212061,1.41,1.348
Innominatemale,672.33,1.3219719,1.41,1.346
VertcolC4exclcartilage,686.24,1.3280101,1.42,1.356
Femurtotalbone,699.31,1.3336889,1.42,1.355
Femurwholespecism,713.43,1.3398205,1.43,1.365
Innominatefemale,755.4,1.3580459,1.46,1.39
Humerustotalbone,766.81,1.3630007,1.46,1.389
Claviclescapula,766.91,1.3630425,1.46,1.389
Humeruscylindricalshaft,816.37,1.3845208,1.49,1.415
Ribs10th,856.41,1.4019124,1.52,1.441
Cranium,1010.84,1.4689721,1.61,1.517
Mandible,1124.55,1.518353,1.68,1.577
Femurcylindricalshaft,1249.88,1.5727814,1.75,1.636
Corticalbone,1533.91,1.6961277,1.92,1.781
