Tissue,HU,RSP,Density
'Lungdeflated',-736.194488,0.259143081,0.26
'Adiposetissue3',-85.3066676,0.952079817,0.93
'Adiposetissue2',-61.84128735,0.971748638,0.95
'Adiposetissue1',-38.38036146,0.985932476,0.97
'Yellowmarrow',-34.50519579,0.988275296,0.98
'Mammarygland1',-19.67995981,0.997238231,0.99
'Mammarygland2',20.12843751,1.021305306,1.02
'Redmarrow',29.36681294,1.026890577,1.03
'Adrenalgland',32.0285956,1.028499819,1.03
'BrainCerebrospinalfluid',37.51621451,1.031817484,1.01
'Smallintestinewall',46.34988054,1.037158078,1.03
'Urine',50.37037636,1.039588761,1.02
'Gallbladderbile',51.73930185,1.040416376,1.03
'Lymph',53.26554897,1.041339104,1.03
'Pancreas',54.50542104,1.042088697,1.04
'Brainwhitematter',56.1319329,1.043072042,1.04
'Prostate',57.1736824,1.043701855,1.04
'Testis',59.55835136,1.045143561,1.04
'Muscleskeletal1',63.18953167,1.047338874,1.05
'Braingraymatter',63.39611889,1.047463771,1.04
'Heart1',63.46543935,1.04750568,1.05
'Kidney1',64.07177175,1.047872252,1.05
'Stomach',64.39655926,1.04806861,1.05
'Aorta',65.74793132,1.048885613,1.05
'Muscleskeletal2',65.90230544,1.048978943,1.05
'Liver1',66.19986496,1.04915884,1.05
'Heart2',66.73253663,1.049480879,1.05
'Kidney2',66.86075652,1.049558397,1.05
'Muscleskeletal3',68.20273107,1.050369718,1.05
'Mammarygland3',69.26663671,1.051012927,1.06
'Heart3',69.30320345,1.051035034,1.05
'Kidney3',69.47305492,1.051137721,1.05
'Ovary',69.81281611,1.051343132,1.05
'Eyelens',72.3936095,1.052903409,1.07
'Liver2',76.73536073,1.055528314,1.06
'Trachea',77.33676116,1.055891905,1.06
'Spleen',78.39620322,1.056532414,1.06
'Heartbloodfilled',79.407992,1.057144114,1.06
'Bloodwhole',79.43591428,1.057160996,1.06
'Liver3',86.99540958,1.061731261,1.07
'Thyroid',93.41243499,1.06561082,1.05
'Skin1',94.63282449,1.066348635,1.09
'Skin2',97.41068351,1.068028053,1.09
'Skin3',101.6402138,1.070585112,1.09
'Connectivetissue',123.7646992,1.083960974,1.12
'Cartilage',127.8094896,1.086406345,1.1
'Sternum',394.6026198,1.204540307,1.25
'Sacrummale',461.946764,1.234327914,1.29
'D6L3inclcartilagem',474.833249,1.240027853,1.3
'Vertcolwhole',521.7641755,1.260786302,1.33
'VertcolD6L3exclcartilage',531.3562726,1.265029071,1.33
'FemurHumerussphericalhead',541.0812831,1.269330629,1.33
'Femurconicaltrochanter',587.7409442,1.289969092,1.36
'C4inclcartilagemale',604.84993,1.297536725,1.38
'Sacrumfemale',625.4113754,1.306631447,1.39
'Humeruswholespecimen',636.8321147,1.311683059,1.39
'Ribs2nd6th',660.0027757,1.321931887,1.41
'Innominatemale',661.6592034,1.322664556,1.41
'VertcolC4exclcartilage',675.4007085,1.328742688,1.42
'Femurtotalbone',687.6306265,1.334152215,1.42
'Femurwholespecism',701.5800734,1.340322323,1.43
'Innominatefemale',743.2538815,1.358755447,1.46
'Humerustotalbone',753.9059187,1.363467048,1.46
'Claviclescapula',754.0022654,1.363509664,1.46
'Humeruscylindricalshaft',802.5969799,1.385004038,1.49
'Ribs10th',842.41822,1.402617736,1.52
'Cranium',993.9322984,1.469635319,1.61
'Mandible',1105.650278,1.519050325,1.68
'Femurcylindricalshaft',1228.399723,1.573344758,1.75
'Corticalbone',1507.354152,1.696731653,1.92
